laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Touchscreen,Ips,Storage
146,Apple,Apple Ultrabook 146,Netbook,11.3,"11.3"" 1366x768",AMD Ryzen 5,4,128GB,Intel Iris Xe Graphics,macOS,1.26,301,No,Yes,Hybrid
147,Razer,Razer 2 in 1 Convertible 147,Notebook,17.3,"17.3"" 2560x1440",Intel Core i5,16,64GB,AMD Radeon RX 6700M,Linux,2.32,1483,Yes,No,SSD
148,Samsung,Samsung Gaming 148,Workstation,15.4,"15.4"" 2560x1440",Intel Core i9,16,2TB,Intel HD Graphics,Chrome OS,2.17,951,No,No,HDD
149,Samsung,Samsung Ultrabook 149,Ultrabook,13.9,"13.9"" 1366x768",Intel Core i3,32,16GB,AMD Radeon RX 6800M,Windows 10,1.44,1494,Yes,No,SSD
150,Lenovo,Lenovo Workstation 150,2 in 1 Convertible,15.3,"15.3"" 1920x1080",Intel Core i9,4,2TB,Intel HD Graphics,Linux,2.27,535,Yes,No,SSD
151,Microsoft,Microsoft Ultrabook 151,Gaming,15.3,"15.3"" 3840x2160",AMD Ryzen 9,8,512GB,Intel Iris Xe Graphics,Linux,3.77,1164,Yes,Yes,Hybrid
152,Razer,Razer Gaming 152,Notebook,11.5,"11.5"" 1366x768",Intel Core i9,32,512GB,AMD Radeon RX 6700M,Windows 10,2.28,2415,Yes,No,Hybrid
153,Dell,Dell Notebook 153,Netbook,11.4,"11.4"" 1920x1080",AMD Ryzen 9,16,2TB,NVIDIA GeForce GTX 1650,Windows 11,1.25,745,Yes,Yes,SSD
154,Dell,Dell Workstation 154,Notebook,12.8,"12.8"" 1920x1080",Intel Core i9,16,8GB,NVIDIA GeForce RTX 3050,Chrome OS,2.31,1564,Yes,No,SSD
155,Samsung,Samsung Notebook 155,Netbook,13.1,"13.1"" 1366x768",Intel Core i5,4,4GB,NVIDIA GeForce GTX 1650,macOS,1.7,270,No,No,SSD
156,Dell,Dell Workstation 156,Workstation,11.7,"11.7"" 1920x1080",Intel Core i9,32,128GB,NVIDIA GeForce RTX 3070,Chrome OS,2.69,3988,No,No,SSD
157,Microsoft,Microsoft Notebook 157,Workstation,15.4,"15.4"" 3840x2160",Intel Core i9,32,32GB,NVIDIA GeForce RTX 3050,Chrome OS,2.92,2651,Yes,No,SSD
158,Apple,Apple Notebook 158,Ultrabook,13.4,"13.4"" 1366x768",Intel Core i7,4,8GB,NVIDIA GeForce RTX 3050,macOS,1.25,1634,Yes,Yes,Hybrid
159,Huawei,Huawei 2 in 1 Convertible 159,2 in 1 Convertible,13.7,"13.7"" 1920x1080",Intel Core i9,8,256GB,AMD Radeon RX 5500M,Windows 10,2.27,663,Yes,No,HDD
160,Apple,Apple Notebook 160,2 in 1 Convertible,13.6,"13.6"" 1366x768",Intel Core i3,8,8GB,AMD Radeon RX 6800M,macOS,2.44,1474,Yes,Yes,SSD
161,MSI,MSI Workstation 161,Netbook,12.3,"12.3"" 1366x768",AMD Ryzen 3,4,32GB,NVIDIA GeForce RTX 3060,Linux,1.14,365,Yes,No,SSD
162,Lenovo,Lenovo Gaming 162,Workstation,15.1,"15.1"" 1920x1080",AMD Ryzen 9,32,16GB,NVIDIA GeForce RTX 3080,Windows 10,1.25,3608,No,Yes,Hybrid
163,Acer,Acer Ultrabook 163,Workstation,11.1,"11.1"" 2560x1440",AMD Ryzen 9,128,32GB,AMD Radeon RX 6700M,Windows 11,2.66,2704,Yes,Yes,HDD
164,Microsoft,Microsoft Gaming 164,Gaming,15.5,"15.5"" 1920x1080",Intel Core i5,32,1TB,NVIDIA GeForce GTX 1650,Windows 11,2.86,1519,Yes,No,HDD
165,MSI,MSI 2 in 1 Convertible 165,Netbook,12.9,"12.9"" 2560x1440",AMD Ryzen 7,4,4GB,AMD Radeon RX 5500M,Chrome OS,2.69,315,No,No,SSD
166,Acer,Acer 2 in 1 Convertible 166,2 in 1 Convertible,14.0,"14.0"" 1920x1080",AMD Ryzen 3,16,4GB,NVIDIA GeForce RTX 3050,macOS,2.53,517,Yes,Yes,SSD
167,Razer,Razer Gaming 167,Notebook,16.8,"16.8"" 3840x2160",Intel Core i3,16,64GB,AMD Radeon RX 6600M,Windows 10,1.93,779,Yes,No,Hybrid
168,Asus,Asus 2 in 1 Convertible 168,Workstation,13.8,"13.8"" 1366x768",AMD Ryzen 7,16,4GB,Intel Iris Xe Graphics,Windows 10,1.92,928,Yes,Yes,Hybrid
169,Samsung,Samsung Workstation 169,Notebook,16.4,"16.4"" 1920x1080",Intel Core i3,16,16GB,NVIDIA GeForce RTX 3080,Chrome OS,2.75,1177,No,No,SSD
170,HP,HP Gaming 170,Workstation,16.7,"16.7"" 2560x1440",AMD Ryzen 9,64,32GB,Intel Iris Xe Graphics,Windows 10,2.74,1683,No,No,HDD
171,Razer,Razer Ultrabook 171,Netbook,15.8,"15.8"" 1920x1080",Intel Core i3,4,16GB,NVIDIA GeForce RTX 3080,Linux,1.14,801,Yes,Yes,Hybrid
172,Huawei,Huawei 2 in 1 Convertible 172,Notebook,14.5,"14.5"" 1366x768",Intel Core i7,8,8GB,NVIDIA GeForce RTX 3070,Windows 11,2.66,727,Yes,Yes,SSD
173,Lenovo,Lenovo Gaming 173,2 in 1 Convertible,13.2,"13.2"" 2560x1440",Intel Core i5,32,1TB,Intel Iris Xe Graphics,Linux,1.47,820,Yes,Yes,Hybrid
174,Lenovo,Lenovo 2 in 1 Convertible 174,Gaming,16.6,"16.6"" 2560x1440",AMD Ryzen 7,8,128GB,NVIDIA GeForce RTX 3060,Windows 10,2.28,1480,Yes,Yes,Hybrid
175,Asus,Asus Netbook 175,Workstation,11.5,"11.5"" 2560x1440",Intel Core i5,32,512GB,AMD Radeon RX 6800M,macOS,1.53,1724,Yes,No,SSD
176,Apple,Apple 2 in 1 Convertible 176,Gaming,17.2,"17.2"" 3840x2160",Intel Core i5,16,2TB,NVIDIA GeForce GTX 1660,macOS,3.99,2231,No,No,SSD
177,Samsung,Samsung Netbook 177,Gaming,16.4,"16.4"" 3840x2160",AMD Ryzen 5,64,32GB,NVIDIA GeForce RTX 3070,Linux,2.62,2832,No,No,HDD
178,LG,LG Notebook 178,Netbook,15.9,"15.9"" 2560x1440",AMD Ryzen 7,16,1TB,NVIDIA GeForce RTX 3060,macOS,2.25,757,Yes,No,Hybrid
179,Razer,Razer Ultrabook 179,Ultrabook,12.0,"12.0"" 1920x1080",Intel Core i9,32,8GB,AMD Radeon RX 6700M,Windows 10,1.37,3359,No,Yes,Hybrid
180,Huawei,Huawei 2 in 1 Convertible 180,Workstation,16.1,"16.1"" 3840x2160",AMD Ryzen 9,64,8GB,NVIDIA GeForce RTX 3070,Windows 11,2.02,3002,No,Yes,SSD
181,Samsung,Samsung Gaming 181,Notebook,15.8,"15.8"" 3840x2160",AMD Ryzen 7,32,16GB,AMD Radeon RX 6800M,Windows 10,1.46,1842,No,Yes,Hybrid
182,MSI,MSI Netbook 182,Netbook,16.1,"16.1"" 1920x1080",Intel Core i3,4,4GB,AMD Radeon RX 6600M,Windows 10,2.99,346,No,No,SSD
183,Microsoft,Microsoft Ultrabook 183,2 in 1 Convertible,12.9,"12.9"" 1366x768",AMD Ryzen 3,16,32GB,Intel Iris Xe Graphics,macOS,2.7,643,Yes,No,HDD
184,Apple,Apple Workstation 184,Netbook,16.9,"16.9"" 2560x1440",Intel Core i5,8,512GB,NVIDIA GeForce GTX 1650,macOS,1.37,531,No,No,Hybrid
185,HP,HP Workstation 185,Notebook,13.0,"13.0"" 1920x1080",AMD Ryzen 3,16,4GB,AMD Radeon RX 6600M,Windows 10,1.97,614,Yes,Yes,HDD
186,MSI,MSI Ultrabook 186,Netbook,11.7,"11.7"" 2560x1440",Intel Core i9,32,4GB,AMD Radeon RX 5500M,Windows 10,1.08,1042,No,Yes,Hybrid
187,Apple,Apple Ultrabook 187,Workstation,15.6,"15.6"" 2560x1440",Intel Core i3,128,512GB,NVIDIA GeForce RTX 3050,macOS,1.29,2810,No,Yes,Hybrid
188,Apple,Apple Workstation 188,Netbook,16.9,"16.9"" 1920x1080",AMD Ryzen 5,8,8GB,AMD Radeon RX 6600M,macOS,2.28,621,Yes,No,Hybrid
189,Lenovo,Lenovo Gaming 189,Netbook,14.6,"14.6"" 2560x1440",AMD Ryzen 3,32,512GB,NVIDIA GeForce RTX 3070,Windows 10,1.58,790,Yes,Yes,SSD
190,Microsoft,Microsoft Ultrabook 190,Netbook,15.3,"15.3"" 2560x1440",AMD Ryzen 3,32,8GB,NVIDIA GeForce RTX 3050,Linux,2.43,623,No,No,HDD
191,Samsung,Samsung Ultrabook 191,2 in 1 Convertible,14.8,"14.8"" 1920x1080",Intel Core i3,32,1TB,Intel HD Graphics,macOS,2.84,538,Yes,No,SSD
192,Apple,Apple Notebook 192,Workstation,12.9,"12.9"" 1366x768",Intel Core i5,32,1TB,Intel HD Graphics,macOS,1.88,1129,Yes,Yes,Hybrid
193,Lenovo,Lenovo Workstation 193,Notebook,15.9,"15.9"" 3840x2160",AMD Ryzen 5,32,8GB,Intel HD Graphics,Windows 11,2.51,444,No,Yes,Hybrid
194,Lenovo,Lenovo 2 in 1 Convertible 194,Workstation,16.9,"16.9"" 1920x1080",AMD Ryzen 5,128,128GB,AMD Radeon RX 6800M,macOS,2.73,2324,Yes,No,HDD
195,HP,HP Gaming 195,Workstation,14.7,"14.7"" 1366x768",Intel Core i5,16,32GB,NVIDIA GeForce RTX 3060,macOS,1.54,1561,Yes,Yes,HDD
196,Samsung,Samsung Workstation 196,2 in 1 Convertible,14.7,"14.7"" 1366x768",AMD Ryzen 3,4,2TB,NVIDIA GeForce RTX 3070,Chrome OS,2.94,591,Yes,Yes,SSD
197,MSI,MSI Ultrabook 197,Notebook,15.4,"15.4"" 1920x1080",Intel Core i7,4,64GB,NVIDIA GeForce GTX 1650,Windows 10,1.6,717,Yes,Yes,HDD
198,Microsoft,Microsoft 2 in 1 Convertible 198,Netbook,11.8,"11.8"" 1920x1080",AMD Ryzen 5,8,512GB,AMD Radeon RX 6600M,Windows 11,1.56,551,No,No,HDD
199,Razer,Razer Workstation 199,Workstation,12.4,"12.4"" 2560x1440",AMD Ryzen 3,64,128GB,NVIDIA GeForce RTX 3070,macOS,2.52,2342,No,No,Hybrid
200,Samsung,Samsung Gaming 200,Workstation,14.8,"14.8"" 1920x1080",Intel Core i3,16,32GB,AMD Radeon RX 5500M,Linux,2.39,697,Yes,Yes,SSD
201,Acer,Acer 2 in 1 Convertible 201,Gaming,16.5,"16.5"" 3840x2160",AMD Ryzen 9,8,2TB,NVIDIA GeForce GTX 1650,Windows 11,3.11,1019,Yes,Yes,Hybrid
202,Apple,Apple Notebook 202,Gaming,15.5,"15.5"" 3840x2160",Intel Core i9,16,512GB,NVIDIA GeForce GTX 1650,macOS,3.28,2888,Yes,Yes,SSD
203,HP,HP Gaming 203,Gaming,16.1,"16.1"" 3840x2160",Intel Core i7,64,8GB,AMD Radeon RX 6700M,Chrome OS,3.11,2253,Yes,No,SSD
204,MSI,MSI Notebook 204,Netbook,17.2,"17.2"" 1920x1080",AMD Ryzen 7,32,512GB,NVIDIA GeForce RTX 3080,Linux,1.57,1455,Yes,Yes,SSD
205,Acer,Acer Gaming 205,Notebook,17.0,"17.0"" 3840x2160",Intel Core i9,32,128GB,AMD Radeon RX 6800M,Windows 11,2.51,1385,No,Yes,HDD
206,MSI,MSI Workstation 206,Netbook,16.8,"16.8"" 3840x2160",Intel Core i3,32,1TB,NVIDIA GeForce RTX 3080,Linux,1.43,988,No,No,Hybrid
207,LG,LG 2 in 1 Convertible 207,Netbook,13.0,"13.0"" 1920x1080",AMD Ryzen 7,32,4GB,Intel HD Graphics,Windows 11,2.81,463,No,Yes,SSD
208,Apple,Apple Ultrabook 208,2 in 1 Convertible,12.1,"12.1"" 1920x1080",AMD Ryzen 3,16,128GB,NVIDIA GeForce RTX 3070,macOS,1.98,1981,Yes,Yes,Hybrid
209,Apple,Apple Netbook 209,2 in 1 Convertible,15.3,"15.3"" 1920x1080",Intel Core i3,4,16GB,AMD Radeon RX 6700M,macOS,2.21,1007,Yes,Yes,Hybrid
210,Asus,Asus Netbook 210,2 in 1 Convertible,15.2,"15.2"" 3840x2160",Intel Core i3,8,128GB,AMD Radeon RX 6700M,Linux,1.19,567,Yes,No,SSD
211,Asus,Asus Ultrabook 211,Notebook,16.2,"16.2"" 2560x1440",Intel Core i7,8,2TB,AMD Radeon RX 6800M,Linux,2.41,1010,No,No,Hybrid
212,Acer,Acer Gaming 212,Ultrabook,12.3,"12.3"" 2560x1440",AMD Ryzen 9,4,2TB,NVIDIA GeForce RTX 3070,Windows 10,0.84,1005,No,Yes,SSD
213,Razer,Razer 2 in 1 Convertible 213,Ultrabook,12.4,"12.4"" 2560x1440",AMD Ryzen 5,8,32GB,AMD Radeon RX 6700M,Windows 10,1.05,1410,Yes,No,HDD
214,Apple,Apple 2 in 1 Convertible 214,Netbook,12.0,"12.0"" 2560x1440",Intel Core i9,4,2TB,NVIDIA GeForce RTX 3050,macOS,2.23,1139,No,No,HDD
215,Lenovo,Lenovo 2 in 1 Convertible 215,Notebook,11.3,"11.3"" 1366x768",AMD Ryzen 3,8,8GB,NVIDIA GeForce GTX 1650,Windows 11,2.13,356,No,No,Hybrid
216,Asus,Asus Gaming 216,Ultrabook,11.3,"11.3"" 1366x768",AMD Ryzen 9,8,32GB,AMD Radeon RX 6800M,Windows 11,1.25,1136,No,No,HDD
217,HP,HP Ultrabook 217,Ultrabook,13.6,"13.6"" 1920x1080",Intel Core i7,32,128GB,NVIDIA GeForce RTX 3070,Windows 11,1.36,2280,Yes,No,SSD
218,Asus,Asus Netbook 218,Netbook,13.0,"13.0"" 1920x1080",AMD Ryzen 5,16,8GB,Intel Iris Xe Graphics,Chrome OS,1.22,290,Yes,Yes,Hybrid
219,Razer,Razer 2 in 1 Convertible 219,Notebook,13.7,"13.7"" 1366x768",Intel Core i9,32,64GB,NVIDIA GeForce GTX 1660,Linux,2.45,2531,No,Yes,HDD
220,MSI,MSI Gaming 220,2 in 1 Convertible,15.6,"15.6"" 3840x2160",Intel Core i7,16,4GB,Intel HD Graphics,Windows 10,2.22,698,Yes,Yes,HDD
221,MSI,MSI 2 in 1 Convertible 221,Netbook,16.6,"16.6"" 1920x1080",AMD Ryzen 5,16,8GB,Intel Iris Xe Graphics,Windows 11,2.25,498,No,Yes,SSD
222,Acer,Acer Workstation 222,Workstation,15.1,"15.1"" 3840x2160",Intel Core i7,128,32GB,AMD Radeon RX 6700M,macOS,2.88,3061,No,Yes,SSD
223,LG,LG 2 in 1 Convertible 223,Workstation,16.9,"16.9"" 1920x1080",Intel Core i9,16,4GB,Intel Iris Xe Graphics,Windows 10,1.1,1138,Yes,No,SSD
224,Samsung,Samsung Workstation 224,Ultrabook,11.8,"11.8"" 1920x1080",AMD Ryzen 9,32,8GB,NVIDIA GeForce RTX 3080,Windows 11,1.03,3737,No,No,HDD
225,Lenovo,Lenovo Ultrabook 225,Gaming,15.8,"15.8"" 2560x1440",AMD Ryzen 9,8,128GB,NVIDIA GeForce RTX 3050,macOS,2.59,1602,No,Yes,Hybrid
226,HP,HP Ultrabook 226,Notebook,15.9,"15.9"" 3840x2160",Intel Core i3,16,512GB,NVIDIA GeForce GTX 1660,Linux,2.74,665,Yes,Yes,SSD
227,Asus,Asus Ultrabook 227,Notebook,13.9,"13.9"" 1920x1080",Intel Core i9,4,32GB,NVIDIA GeForce RTX 3050,Windows 10,1.43,757,No,Yes,Hybrid
228,Razer,Razer Netbook 228,Ultrabook,12.2,"12.2"" 1920x1080",AMD Ryzen 7,8,512GB,Intel Iris Xe Graphics,Chrome OS,1.2,1117,No,Yes,Hybrid
229,Apple,Apple Ultrabook 229,Ultrabook,13.4,"13.4"" 1920x1080",AMD Ryzen 5,32,64GB,Intel Iris Xe Graphics,macOS,1.09,1333,No,No,Hybrid
230,Huawei,Huawei 2 in 1 Convertible 230,Gaming,16.2,"16.2"" 3840x2160",AMD Ryzen 3,8,512GB,NVIDIA GeForce RTX 3050,Windows 11,2.91,449,Yes,Yes,SSD
231,Razer,Razer Workstation 231,Notebook,14.7,"14.7"" 2560x1440",AMD Ryzen 7,8,32GB,Intel HD Graphics,Chrome OS,2.7,588,Yes,Yes,Hybrid
232,Dell,Dell Workstation 232,Netbook,16.5,"16.5"" 1920x1080",Intel Core i9,4,512GB,NVIDIA GeForce RTX 3080,macOS,2.32,1211,No,No,SSD
233,MSI,MSI Notebook 233,Gaming,17.1,"17.1"" 1920x1080",Intel Core i3,16,128GB,NVIDIA GeForce RTX 3050,Linux,3.05,1134,Yes,No,Hybrid
234,Huawei,Huawei Workstation 234,Netbook,12.9,"12.9"" 2560x1440",Intel Core i3,16,512GB,NVIDIA GeForce RTX 3070,Windows 10,1.19,522,Yes,Yes,Hybrid
235,Apple,Apple Notebook 235,Gaming,16.8,"16.8"" 3840x2160",Intel Core i7,32,4GB,NVIDIA GeForce GTX 1650,macOS,3.39,2329,Yes,Yes,SSD
236,Asus,Asus Notebook 236,Netbook,14.0,"14.0"" 1920x1080",Intel Core i9,4,128GB,NVIDIA GeForce RTX 3050,macOS,1.37,485,Yes,Yes,Hybrid
237,MSI,MSI Ultrabook 237,2 in 1 Convertible,12.5,"12.5"" 2560x1440",Intel Core i9,16,8GB,Intel HD Graphics,Windows 11,2.13,1084,Yes,Yes,Hybrid
238,Asus,Asus Notebook 238,Notebook,11.8,"11.8"" 1366x768",AMD Ryzen 7,4,512GB,NVIDIA GeForce GTX 1650,macOS,1.01,435,Yes,No,SSD
239,Acer,Acer Netbook 239,Netbook,17.0,"17.0"" 3840x2160",Intel Core i7,32,16GB,NVIDIA GeForce RTX 3060,Chrome OS,2.39,775,No,No,SSD
240,Microsoft,Microsoft Netbook 240,Notebook,12.4,"12.4"" 2560x1440",AMD Ryzen 5,4,512GB,NVIDIA GeForce RTX 3070,Windows 10,1.81,1030,No,No,HDD
241,MSI,MSI 2 in 1 Convertible 241,Gaming,16.7,"16.7"" 2560x1440",Intel Core i3,32,8GB,NVIDIA GeForce RTX 3080,macOS,3.81,2531,No,Yes,HDD
242,Lenovo,Lenovo Notebook 242,Netbook,15.7,"15.7"" 2560x1440",AMD Ryzen 9,4,2TB,AMD Radeon RX 5500M,Windows 11,1.67,435,No,Yes,HDD
243,Dell,Dell Notebook 243,Notebook,11.8,"11.8"" 1366x768",AMD Ryzen 5,16,16GB,NVIDIA GeForce GTX 1650,Windows 10,2.16,585,No,No,Hybrid
244,MSI,MSI Gaming 244,Netbook,16.9,"16.9"" 3840x2160",Intel Core i5,16,4GB,AMD Radeon RX 5500M,Chrome OS,1.42,448,No,Yes,SSD
245,Acer,Acer Notebook 245,Netbook,13.6,"13.6"" 2560x1440",AMD Ryzen 3,32,256GB,AMD Radeon RX 6800M,macOS,1.09,638,No,Yes,SSD
246,Acer,Acer Notebook 246,2 in 1 Convertible,12.7,"12.7"" 1366x768",Intel Core i9,4,4GB,AMD Radeon RX 6700M,Chrome OS,1.24,984,Yes,No,SSD
247,Asus,Asus Ultrabook 247,Netbook,16.0,"16.0"" 1920x1080",AMD Ryzen 3,32,4GB,NVIDIA GeForce RTX 3060,Chrome OS,1.53,652,No,Yes,Hybrid
248,Samsung,Samsung Netbook 248,Netbook,14.3,"14.3"" 1920x1080",Intel Core i7,4,1TB,NVIDIA GeForce GTX 1650,macOS,1.68,383,No,No,HDD
249,LG,LG Gaming 249,Ultrabook,11.1,"11.1"" 2560x1440",AMD Ryzen 9,16,2TB,NVIDIA GeForce RTX 3050,Chrome OS,0.93,1315,Yes,Yes,SSD
250,Razer,Razer Workstation 250,2 in 1 Convertible,12.1,"12.1"" 1366x768",Intel Core i7,32,8GB,AMD Radeon RX 6800M,Windows 11,1.07,2679,Yes,No,SSD
251,LG,LG Ultrabook 251,2 in 1 Convertible,14.1,"14.1"" 1366x768",Intel Core i5,4,64GB,AMD Radeon RX 6600M,macOS,1.62,601,Yes,Yes,HDD
252,Huawei,Huawei Ultrabook 252,Gaming,16.3,"16.3"" 1920x1080",Intel Core i7,32,64GB,AMD Radeon RX 6600M,Windows 10,3.01,1649,Yes,Yes,HDD
253,Dell,Dell Notebook 253,Gaming,17.1,"17.1"" 1920x1080",Intel Core i9,64,4GB,NVIDIA GeForce RTX 3050,Windows 10,2.39,4076,No,No,HDD
254,LG,LG Notebook 254,Workstation,15.9,"15.9"" 2560x1440",Intel Core i7,32,2TB,Intel Iris Xe Graphics,macOS,2.84,1319,No,No,Hybrid
255,Apple,Apple Notebook 255,Gaming,15.0,"15.0"" 3840x2160",Intel Core i3,32,128GB,NVIDIA GeForce RTX 3050,macOS,2.58,2430,Yes,Yes,SSD
256,HP,HP Gaming 256,Notebook,15.6,"15.6"" 3840x2160",Intel Core i9,8,128GB,AMD Radeon RX 6800M,Linux,2.24,1486,Yes,No,SSD
257,MSI,MSI Netbook 257,2 in 1 Convertible,12.2,"12.2"" 2560x1440",AMD Ryzen 5,4,512GB,AMD Radeon RX 6700M,Linux,1.31,735,Yes,No,Hybrid
258,Razer,Razer Notebook 258,Gaming,16.7,"16.7"" 3840x2160",AMD Ryzen 9,64,8GB,NVIDIA GeForce RTX 3050,Chrome OS,2.27,3878,Yes,No,HDD
259,Acer,Acer 2 in 1 Convertible 259,Netbook,16.0,"16.0"" 3840x2160",Intel Core i3,4,256GB,NVIDIA GeForce RTX 3060,Windows 10,2.14,311,Yes,No,Hybrid
260,Lenovo,Lenovo Netbook 260,Notebook,12.9,"12.9"" 2560x1440",AMD Ryzen 3,32,512GB,Intel Iris Xe Graphics,Linux,1.27,497,No,No,SSD
261,Apple,Apple Gaming 261,Workstation,16.9,"16.9"" 2560x1440",AMD Ryzen 7,16,16GB,AMD Radeon RX 6800M,macOS,2.1,2981,No,Yes,SSD
262,Lenovo,Lenovo Notebook 262,Notebook,12.6,"12.6"" 2560x1440",Intel Core i5,8,256GB,AMD Radeon RX 5500M,Windows 11,2.82,378,No,Yes,Hybrid
263,Microsoft,Microsoft Notebook 263,Notebook,12.9,"12.9"" 1920x1080",Intel Core i7,16,1TB,Intel Iris Xe Graphics,Chrome OS,1.64,979,Yes,No,Hybrid
264,Acer,Acer Notebook 264,2 in 1 Convertible,13.7,"13.7"" 1366x768",AMD Ryzen 5,16,4GB,NVIDIA GeForce GTX 1650,Linux,1.35,570,Yes,Yes,SSD
265,Lenovo,Lenovo Workstation 265,Netbook,11.2,"11.2"" 1366x768",Intel Core i9,32,512GB,AMD Radeon RX 6800M,Windows 10,2.33,1681,No,Yes,SSD
266,Microsoft,Microsoft Workstation 266,Netbook,16.6,"16.6"" 3840x2160",Intel Core i5,4,16GB,NVIDIA GeForce GTX 1660,Linux,2.88,382,Yes,Yes,HDD
267,Huawei,Huawei Workstation 267,2 in 1 Convertible,15.5,"15.5"" 2560x1440",Intel Core i3,16,128GB,AMD Radeon RX 6700M,Chrome OS,2.65,580,Yes,No,Hybrid
268,Dell,Dell Notebook 268,2 in 1 Convertible,13.1,"13.1"" 1366x768",Intel Core i3,16,256GB,NVIDIA GeForce RTX 3070,Chrome OS,2.89,1317,Yes,No,SSD
269,Asus,Asus 2 in 1 Convertible 269,Ultrabook,13.4,"13.4"" 1366x768",Intel Core i3,4,16GB,NVIDIA GeForce RTX 3060,Chrome OS,1.21,642,No,Yes,SSD
270,LG,LG Workstation 270,Gaming,15.4,"15.4"" 3840x2160",AMD Ryzen 3,64,1TB,Intel Iris Xe Graphics,macOS,2.53,883,Yes,Yes,SSD
271,Apple,Apple Notebook 271,2 in 1 Convertible,13.3,"13.3"" 2560x1440",AMD Ryzen 5,16,512GB,Intel Iris Xe Graphics,macOS,1.68,1042,Yes,Yes,Hybrid
272,Microsoft,Microsoft Workstation 272,2 in 1 Convertible,15.0,"15.0"" 1920x1080",AMD Ryzen 7,32,2TB,NVIDIA GeForce RTX 3080,Windows 11,1.85,3518,Yes,No,SSD
273,Huawei,Huawei Netbook 273,Notebook,11.7,"11.7"" 1366x768",Intel Core i3,16,4GB,NVIDIA GeForce GTX 1660,Linux,1.71,435,Yes,Yes,SSD
274,Samsung,Samsung Notebook 274,Workstation,16.0,"16.0"" 3840x2160",Intel Core i5,16,16GB,AMD Radeon RX 6800M,Linux,1.36,1927,No,Yes,HDD
275,Asus,Asus Workstation 275,Notebook,12.5,"12.5"" 1920x1080",AMD Ryzen 5,16,1TB,AMD Radeon RX 6800M,Chrome OS,2.72,754,Yes,Yes,SSD
276,LG,LG Notebook 276,Ultrabook,12.1,"12.1"" 1920x1080",AMD Ryzen 3,32,8GB,Intel HD Graphics,Chrome OS,1.14,509,No,No,Hybrid
277,LG,LG Workstation 277,Netbook,14.6,"14.6"" 1366x768",Intel Core i7,32,1TB,NVIDIA GeForce RTX 3070,macOS,1.39,1164,Yes,No,Hybrid
278,Asus,Asus Ultrabook 278,2 in 1 Convertible,14.4,"14.4"" 2560x1440",Intel Core i7,32,256GB,NVIDIA GeForce RTX 3060,Linux,1.42,1579,Yes,Yes,SSD
279,Dell,Dell Ultrabook 279,Netbook,16.5,"16.5"" 1920x1080",Intel Core i3,4,4GB,AMD Radeon RX 6800M,Windows 11,2.64,427,Yes,Yes,SSD
280,HP,HP 2 in 1 Convertible 280,Netbook,14.7,"14.7"" 1366x768",Intel Core i9,4,16GB,NVIDIA GeForce GTX 1650,Linux,2.33,435,Yes,Yes,HDD
281,MSI,MSI Ultrabook 281,Notebook,17.1,"17.1"" 3840x2160",Intel Core i3,16,4GB,NVIDIA GeForce GTX 1660,Windows 10,1.9,800,No,No,Hybrid
282,LG,LG Workstation 282,2 in 1 Convertible,12.7,"12.7"" 1366x768",Intel Core i3,16,1TB,NVIDIA GeForce GTX 1650,Chrome OS,2.2,741,Yes,No,SSD
283,Samsung,Samsung Netbook 283,Ultrabook,11.2,"11.2"" 1920x1080",Intel Core i3,16,4GB,AMD Radeon RX 6800M,macOS,1.22,1224,Yes,No,SSD
284,Dell,Dell Ultrabook 284,2 in 1 Convertible,14.4,"14.4"" 2560x1440",Intel Core i3,32,32GB,NVIDIA GeForce RTX 3080,Windows 11,2.99,1777,Yes,No,Hybrid
285,Asus,Asus 2 in 1 Convertible 285,Ultrabook,13.1,"13.1"" 1366x768",Intel Core i5,32,2TB,AMD Radeon RX 6600M,Chrome OS,1.49,1190,Yes,Yes,SSD
286,Acer,Acer Ultrabook 286,Netbook,17.1,"17.1"" 3840x2160",Intel Core i9,8,128GB,NVIDIA GeForce RTX 3060,Linux,2.31,618,No,No,HDD
287,Microsoft,Microsoft 2 in 1 Convertible 287,Ultrabook,12.1,"12.1"" 1366x768",Intel Core i9,4,512GB,NVIDIA GeForce GTX 1650,Windows 11,0.93,1174,Yes,No,SSD
288,Razer,Razer Netbook 288,2 in 1 Convertible,14.3,"14.3"" 1920x1080",AMD Ryzen 3,16,4GB,NVIDIA GeForce RTX 3080,macOS,2.09,1537,Yes,Yes,Hybrid
289,LG,LG Gaming 289,Workstation,12.1,"12.1"" 1366x768",AMD Ryzen 9,32,512GB,AMD Radeon RX 5500M,Windows 11,1.99,1318,Yes,Yes,SSD
290,MSI,MSI Gaming 290,Netbook,16.7,"16.7"" 3840x2160",Intel Core i9,8,128GB,NVIDIA GeForce RTX 3080,Windows 11,1.6,1512,Yes,Yes,SSD
291,Dell,Dell 2 in 1 Convertible 291,Gaming,17.1,"17.1"" 1920x1080",AMD Ryzen 9,8,32GB,AMD Radeon RX 6700M,macOS,2.5,1705,Yes,No,HDD
292,Razer,Razer Netbook 292,Notebook,14.9,"14.9"" 2560x1440",Intel Core i9,32,4GB,NVIDIA GeForce RTX 3050,Windows 10,2.5,2445,No,Yes,HDD
